20120828000000000|20121123000000000
20120828000000000|20121203000000000
20120903000000000|20121121000000000
20120903000000000|20121201000000000
20120831000000000|20121202000000000
20120831000000000|20121122000000000
20120901000000000|20121125000000000
20120901000000000|20121205000000000
20120904000000000|20121204000000000
20120904000000000|20121124000000000
20120905000000000|20121127000000000
20120905000000000|20121207000000000
20120829000000000|20121126000000000
20120829000000000|20121206000000000
20120827000000000|20121120000000000
20120827000000000|20121130000000000
20120830000000000|20121129000000000
20120830000000000|20121209000000000
20120902000000000|20121208000000000
20120902000000000|20121128000000000
